考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
112 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,2,假設大宇公司於X1 年底有一投資計畫，預計生產溫度計，假設相關投資的廠房及設備可立即 建好，其名目成本為兩億元，產能為每年兩百萬個，預計於 X2 年初開始生產，該廠房設施可 使用三年，殘值為八百萬元（名目數字）。在 X1 年底溫度計的售價為每支一百元（名目），變 動成本（含原料及人工）為每個 36 元（名目）。溫度計之售價及變動成本預計在未來均以每 年10%的速度成長。所得稅率為25%。大宇公司採用的直線法攤提折舊，名目的折現率為20%， 再假設收入及費用均於每年的年底發生。請問此計畫的淨現值(Net present value)為多少？(10 分),,,,,C
112 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,3,"興安公司於X1 年1 月1 日承包一橋樑工程，預計三年完工，工程總價款為$80,000,000，相 關資料如下所示： X1 年 X2 年 X3 年 本期實際發生成本 $16,000,000 $30,000,000 $36,000,000 估計尚需投入成本 48,000,000 46,000,000 ─ 分期請款金額 36,000,000 24,000,000 20,000,000 實際收款金額 18,000,000 29,000,000 33,000,000 請問：(1)當該工程合約之承諾為隨時間逐步滿足之單一履約義務，且假設採已發生成本對預 期總成本之比例衡量履約義務完成程度時，興安公司三年度各應認列多少工程損益？ (5 分) (2)當興安公司對於該橋樑工程合約無法合理衡量其履約義務之完成程度時，又知 X1 年至X3 年已發生之工程成本預期均可全部回收，X2 年12 月31 日估計整體之完工 很有可能會損失$600,000，則興安公司三年度各應認列多少工程損益？(5 分) 112 年第 2 次",,,,,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,1,通常，債券交換之目的為：,提高債券組合的評等來增加報酬,降低債券組合的評等來增加報酬,利用債券市場短暫的錯誤定價,避開傳統債券市場到店頭市場交易,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,2,在布列頓森林協定(Bretton Woods Agreement)下，一國採取擴張性貨幣政策時會導致國際收 支________，進而造成貨幣供給________ 。,赤字；增加,赤字；減少,盈餘；增加,盈餘；減少,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,3,「當利率降至極低水準時，貨幣需求的利率彈性變為無窮大，此種情況下，中央銀行不論增加 多少貨幣供給，都會被大眾的貨幣需求所吸收，利率卻不再下降」，此種現象稱為：,貨幣中立性,貨幣幻覺,排擠效果,流動性陷阱,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,4,國際油價上漲時，所引起的物價膨脹主要是？,總合需求線左移,總合需求線右移,總合供給線左移,總合供給線右,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,5,依照梭羅成長模型，若在穩定狀態下，一個國家人口成長率為 3%，其他條件不變下，則該國 之GDP 成長率為何？,2%,3%,5%,4%,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,6,由《經濟學人》雜誌提出之大麥克指數與《華爾街日報》提出之星巴克拿鐵指數，都以跨國企 業中民眾較易消費之產品，來衡量各國匯率變化，這類具生活化之指標都將下列哪項理論成立 為前提，才會略具經濟意涵？,購買力平價理論,比較利益原則,機會成本原則,柏拉圖最適原,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,7,若投資人不持有債券至到期日，則其投資的報酬率與到期收益率兩者的關係為？,報酬率高於到期收益率,報酬率低於到期收益率,報酬率等於到期收益率,兩者沒有明確的關係,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,8,根據購買力平價說，匯率會調整，使得：,不同國家的預期通貨膨脹率之差被抵銷,不同國家的即期匯率之差被抵銷,不同國家的名目利率之差被抵銷,不同國家的實質利率之差被抵銷,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,9,近來央行為避免新臺幣大幅貶值，因此在外匯市場上採取什麼樣的外匯干預？,買匯,賣匯,管制資本進來,說服外商銀行不要買進遠期外匯,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,10,若名目所得10 兆，貨幣供給 2 兆，依據古典學派之貨幣數量學說，則流通速度(velocity)為 _____。,2,5,10,40,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,11,近年中國大陸為拓展其資本市場投資，施行資本市場之互通，不包含：,滬倫通,滬港通,深港通,港倫通,B
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,12,下列哪一項因素會導致總需求線左移？,政府減稅,進口減少,政府支出減少,選項(A)(B)(C),D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,13,張三從郵局提領10 萬元現金，存入其在銀行的活期儲蓄存款帳戶時，對M1B及M2 之立即影 響為何？,M2 增加而M1B 不變,M2 增加而M1B 減少,M2 減少而M1B 增加,M2 不變而M1B 增加,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,14,央行在外匯市場買匯，會導致國內貨幣供給：,減少,增加,不變,選項(C)皆有可能,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,15,股價指數是_____指標、工業生產指數是_____指標。,領先、領先,領先、同時,同時、同時,領先、落後,B
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,16,下列何者是有特定目的之貨幣工具？,公開市場操作,存款準備金比率,重貼現率政策,保證金比率,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,17,期貨市場出現了正價差，下列何者描述有誤？,基差為正,期貨價大於現貨價,預期現貨指數未來看漲,市場偏向樂觀預期,B
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,18,菲力浦曲線描繪了哪兩項變數之間的關聯性？,物價與失業率的關係,利率與物價的關係,失業率與物價上漲率的關係,利率與匯率之間的關係,B
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,19,當FOMC調高聯邦資金利率的目標水準時，表示美國聯邦準備正採取：,較為寬鬆的財政政策,較為緊縮的財政政策,較為寬鬆的貨幣政策,較為緊縮的貨幣政策,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,20,下列何者因素會造成總需求下降？,利率上升,財政支出增加,貨幣數量增加,預期通貨膨脹率上升,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,21,下列何種存款的變化與景氣波動最有關連性？,定期存款,郵政儲金,外匯存款,活期存款,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,22,當經濟陷入衰退時，下列何者會主張政府應降稅？,古典學派,理性預期學派,貨幣學派,供給學派,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,23,現代經濟體系內的內在穩定因子不包括下列何者項目？,累計所得稅制,公司分紅制度,社會保險,失業補助,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,24,假設經濟體系如下：消費函數 C =25+0.75Yd，Yd 為可支配所得，投資 I=50、政府支出 G=40、 稅額T=20，則均衡所得為多少？,400,250,500,380,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,25,有一年戰亂，全國人民躲進防空洞，無法從事任何生產，而人民的消費與政府支出都是消耗之 前年度的存貨，該年度人民消費 500 單位、政府支出 300 單位，沒有任何投資與進出口，根 據Y=C+I+G+X-M公式，該年度的國民所得為多少？,0,300,500,800,B
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,26,實質景氣循環理論指出造成景氣波動的原因不包括下列何者？,ChatGPT 的AI 革命創造新興產業,俄烏戰爭導致全球供應斷鏈,美國聯準會量化寬鬆貨幣政策,氣候暖化導致糧食危機,B
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,27,債券市場中，信用評等BB 級的債券與AAA 級的債券利差擴大，反映了何種現象？,通貨膨脹的預期,寬鬆的貨幣政策,景氣衰退的疑慮,產業結構的調整,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,28,下列何者現象反映了貧富差距擴大？I.吉尼係數上升、II.薪資佔全體要素所得比重上升、III.薪 資成長率低於經濟成長率,僅I,I 與II,I與III,I、II 與III,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,29,CCI、PMI 與VIX分別對應了下列何種指標？,消費信心指標、企業投資信心指標、股市恐慌指標,消費信心指標、企業投資信心指標、股市信心指標,股市恐慌指標、消費信心指標、企業投資信心指標,消費者物價指數、躉售物價指數、股市恐慌指標,B
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,30,企業如果要進行短期的資金融通，可以發行何種證券？,股票,債券,TDR,商業本票,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,31,下列的虛擬貨幣中何者是屬於穩定幣(stable coin)？,泰達幣,以太幣,比特幣,狗狗幣,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,32,"有關於指數投資證券（Exchange Traded Note, ETN）的描述何者為非？",用來追蹤特定指數,存在有追蹤誤差,主要是由券商發行,ETN是個債務性證券，因此有到期期限,D
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,33,所謂的銀行體系的貨幣創造過程是指：,央行印鈔票,銀行拿有價證券到央行去貼現,皆是,選項,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,34,一個自給自足經濟體要能永續成長，下列何種方式比較適宜？,技術創新與進步,資本持續累積,人口持續成長,生產活動都使用再生能源,A
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,35,甲國生產一台電腦需要10 個人日，乙國則需要8 個人日；甲國生產一瓶酒需要 3 個人日，乙 國則需要1 個人日，請問下列敘述何者為非？,乙國生產電腦有絕對優勢,乙國生產電腦有相對優勢,乙國生產酒有絕對優勢,乙國生產酒有相對優勢,C
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,申論題,1,美國債券市場殖利率報價如下： 期間 3 月 6 月 1 年 2 年 3 年 5 年 10 年 30 年 殖利率 5.25% 5.34% 5.26% 4.71% 4.30% 3.99% 3.79% 3.89% (1)請說明其隱含的經濟意義。(5 分) (2)由上表資料中，根據預期理論，預期一年後的一年期利率應該會是多少？(5 分),,,,,
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,申論題,2,"假設消費函數為C = 200+0.75Yd，Yd=Y-tY，t=0.2，投資函數為I=200-5,000r，r為利率，淨 出口EX=200，政府支出 G=100，貨幣供給M=700，貨幣需求函數L=Y-5,000r，請求解均衡 的所得Y與利率r。(10 分)",,,,,
112 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,申論題,3,美元一年期利率6%，二年期利率 7%，英鎊一年期利率 3%、二年期利率4%，英鎊兌美元即 期匯率為GBP/USD=1.4，依照利率平價原理，請計算英鎊兌美元一年期與二年期的遠期匯率。 (10 分) 112 年第 2 次,,,,,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,1,下列關於股份有限公司董事長之敘述，何者正確？,為董事會主席,不得兼任總經理,為監事會召集人,得由監察人兼任,D
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,2,證券承銷商代銷有價證券，於承銷契約所訂定之承銷期間屆滿後，對於約定代銷之有價證券， 未能全數銷售者，其剩餘數額之有價證券之處理，下列何者為正確？,得退還發行人,應自行認購之,應退還發行人,應退還發行人一部分，自行認購一部分,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,3,下列關於撤銷股東會決議要件之敘述何者正確？,該決議必須有召集程序或決議方法之瑕疵,提起人應為債權人,應以書面通知公司,決議作成後，均得訴請撤銷，無期間限,D
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,4,有關證券經紀商，下列敘述何者錯誤？,證券經紀商不得接受對有價證券買賣代為決定種類、數量、價格或買入、賣出之全權委託,證券經紀商不得於其本公司或分支機構以外之場所，接受有價證券買賣之委託,證券經紀商受託買賣有價證券，應於成交時作成買賣報告書交付委託人，並應於每月十五,證券經紀商應備置有價證券購買及出售之委託書，以供委託人使用,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,5,證券投資顧問事業從業人員對於業務執行的規定，下列何者敘述為正確？,非因職務需要或公司書面同意，不得於任職期間內，洩漏或利用公司或其客戶任何機密或,對於客戶個人資料之蒐集或利用，應注意遵守證券交易法之規定,對於客戶個人資料之蒐集或利用若有違法，應由公司負起法律責任，但須賠償公司因此所,除依法令得辦理全權委託投資業務之相關人員外，任何人均不得以個人名義或任何形式代,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,6,下列關於公開發行公司發行普通公司債之敘述，何者正確？,公司於發行公司債時，得約定其受償順序次於公司其他債權,公司債之總額，不得逾公司現有全部資產減去全部負債及無形資產後之餘額之三倍,無擔保公司債之總額，不得逾公司現有全部資產減去全部負債及無形資產後之餘額三分之,應由過半董事之出席，及出席董事過半數之同意行之,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,7,下列對相互投資公司之定義，其敘述何者正確？,一公司與他公司曾經同時持有對方股份,一公司與他公司均持有對方有表決權之股份總數或資本達總額四分之一以上,一公司與他公司均持有對方有表決權之股份總數或資本達總額三分之一以上,一公司與他公司均持有對方有表決權之股份總數或資本達總額二分之一以上,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,8,有關證券投資信託事業之董事、監察人或經理人之行為規範，以下敘述何者正確？,證券投資信託事業之董事、監察人或經理人於一定限額內得投資上櫃之乙證券投資信託事,證券投資信託事業之董事、監察人或經理人不得擔任證券投資信託基金所購入股票發行公,證券投資信託事業之董事、監察人或經理人於證券投資信託事業決定運用證券投資信託基,證券投資信託事業之董事、監察人或經理人不得買賣上市（櫃）公司股票,A
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,9,證券交易所之證券經紀商、證券自營商在證券交易所市場買賣證券，買賣一方不履行交付義 務時，證券交易所應指定何者代為交付？,證券承銷商,其他證券經紀商或證券自營商,買賣證券之投資人,買賣證券之上市公司,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,10,公開說明書應記載之主要內容有虛偽或隱匿之情事者，對於善意之相對人因而所受之損害， 下列哪些人員，應就其所應負責部分與公司負連帶賠償責任？,該有價證券之證券承銷商,發行人及其負責人,會計師、律師等在公開說明書上簽章，以證實其所載內容之全部或一部，或陳述意見者,以上皆須負連帶賠償責任,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,11,證券投資信託事業管理法令規定證券投資信託事業之相關人員，為避免利益衝突及內線交易， 於基金決定買賣某種股票起至基金不再持有該股票止，不得參與同種股票之買賣，下列何者 係屬限制範圍之內？,基金經理人之配偶,負責人二親等以內親屬,投信公司之關係企業,基金經理人之成年子女,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,12,A 上市公司之大股東甲、乙、丙為家族企業之傳承，擬成立 B 閉鎖性股份有限公司，下列關 於B 閉鎖性股份有限公司之敘述，何者正確？,其股東人數不超過60 人，並應於章程定有股份轉讓限制,股東會選任董事及監察人之方式，除章程另有規定者外，依公司法第 198 條有關累積投票,股東得成立股東表決權信託，由受託人依書面信託契約之約定行使其股東表決權，但受託,公司私募轉換公司債或附認股權公司債，應由董事會以董事三分之二以上之出席，及出席,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,13,證券投資信託公司經營全權委託投資業務，若原保管銀行信用評等不符規定，認為營業保證 金保管銀行尚非妥適，為確保提存營業保證金之安全，可採取下列何項措施？,將保證金分散提存於二家以上金融機構,經主管機關核准後得更換之,得設定質權或以任何方式提供擔保,改以其他家銀行定存款單替代之,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,14,下列關於股份有限公司股東會之敘述，何者正確？,可分為常會與暫時性股東會,常會應於公司會計年度終了後六個月,董事長逾期未召開常會，並無責任,常會每年至少應召開二次,D
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,15,試問依現行證券交易法規定，上市上櫃公司辦理現金增資時，證券主管機關得強制其提撥發 行新股總額之多少比率向外公開發行？,百分之五,百分之十,百分之十五,百分之二十,A
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,16,已依我國證券交易法規定選任獨立董事之公開發行股份有限公司，如有重大資產或衍生性商 品交易事項於董事會會議討論時，如遇獨立董事有反對意見或保留意見，試問董事會應如何 處理？,應於董事會議事錄記載,董事會議所為決議無效,董事會議不得為決議,董事會議所為決議得撤銷,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,17,內線交易案件情節重大者，法院得將損害賠償義務人之賠償額提高三倍，其前提要件為何？,須由善意從事相反買賣之人之請求,須由同案刑事部分之檢察官請求,須經證券主管機關之請求,經調查屬實，由法院逕依職權為之,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,18,有關證券投資信託事業所募集之基金，試問其運用基金資產，下列何項敘述為不正確？,不得投資未上市、未上櫃之股票或私募之有價證券,不得投資於該證券投資信託事業或與該證券投資信託事業有利害關係之公司所發行之證,每一基金投資於任一上市或上櫃公司股票及公司債或金融債券之總金額，不得超過該基金,不得運用基金買入該基金之受益憑證。但經受益人請求買回或因基金全部或一部不再存續,D
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,19,股票尚未公開發行之股份有限公司擬申請上市（櫃）交易時，試問應先向何單位申請補辦證 券交易法規定之有關公開發行審核程序？,金融監督管理委員會,證券商同業公會,經濟部商業司,臺灣證券交易所,A
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,20,證券投資信託事業之負責人與業務人員，其本人、配偶、未成年子女及被本人利用名義交易 者，買賣其所屬證券投資信託事業發行之基金，試問下列何項規定為不正確？,申購其所服務公司發行之開放式基金，應受最低持有期間內不得請求買回之限制，其最低,申購其所服務公司發行之開放式基金，應受最低持有期間內不得請求買回之限制，其最低,申購其所服務公司發行之開放式基金，應受最低持有期間內不得請求買回之限制，其最低,不得買賣其所屬證券投資信託事業發行之封閉式基金,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,21,法人及外國公司如違反證券交易法相關規定者，依該法規定之罰則，應如何處罰？,處罰該法人,處罰其董事,處罰其為行為之負責人,處罰其股東,D
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,22,證券投資顧問事業之經手人員為本人帳戶投資買賣交易前，應事先以書面報經督察主管或所 屬部門主管核准，但為下列何種投資或交易標的，不在此限？,國內上櫃公司股票,國內上市公司股票,具股權性質之衍生性商品,開放型基金受益憑證,A
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,23,關於公開發行股份有限公司召集股東會，對於持股未滿一千股之記名股東之召集通知，下列 敘述何者正確？,股東常會之召集通知得於開會三十日前，以公告方式為之,股東常會之召集通知得於開會十五日前，以公告方式為之,股東臨時會之召集通知得於開會三十日前，以公告方式為之,對全體股東皆需寄發書面開會通知,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,24,違反證券交易法第155條之「操縱股價行為」，其犯罪所得在新臺幣一億元以下者，其刑事 責任為何？,一年以下有期徒刑，得併科新臺幣二萬元以下罰金,二年以下有期徒刑，得併科新臺幣五萬元以下罰金,三年以下有期徒刑，得併科新臺幣一千萬元以下罰金,處三年以上十年以下有期徒刑，得併科新臺幣一千萬元以上二億元以下罰金,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,25,依現行「證券投資顧問事業負責人與業務人員管理規則」規定，試問下列何者可擔任證券投 資顧問事業在電視上解盤分析之從業人員？,曾擔任證券投資信託基金經理人工作經驗二年以上者,大學財金系教授、副教授及助理教授,參加證券投資信託暨顧問事業同業公會委託機構舉辦之證券投資分析人員測驗合格者,在國外取得證券分析師資格，並有一年以上實際經驗,B
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,26,上市公司監察人請求內部人將短線交易之利益歸入於公司，自獲得利益之日起幾年間不行 使而消滅？,二年,三年,四年,五年,D
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,27,一般公開發行公司初次申請股票上市條件，公司「獲利能力」標準之一為稅前淨利占年度決 算之財務報告所列示股本比率，最近五個會計年度均需達多少者，始合乎獲利能力標準？,3%以上,6%以上,5%以上,10%以上,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,28,試問公開發行股份有限公司除經主管機關核准者外，董事間應有如何比例之席次，不得具配 偶或二等親以內之親屬關係？,超過二分之一,超過三分之一,超過四分之一,超過三分之二,C
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,29,依現行證券交易法規定，會計師辦理證交法第36條財務報告之查核簽證，發生錯誤或疏漏時， 主管機關得為之處分，試問下列何者為錯誤？,警告,停止其二年以內辦理證交法所定之簽,撤銷簽證之核准,申誡,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,30,有關證券投資顧問事業從業人員對於客戶申訴之處理，試問下列何項敘述為正確之作法？,申訴對象之員工，應全力配合調查；若陳述與客戶有重大不一致時，為確保其真實性，應,對於客戶書面申訴案件，客戶服務相關部門應逐日詳細記載，但口頭的申訴案件則不需要,主管應指派資深同仁保管上述檔案紀錄，且至少每月一次交由部門主管及督察主管核閱,申訴案件應由資淺員工調查處理，才不致有偏袒發生，且該員工不得為申訴案件中的申訴,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,31,個體或個別財務報告在下列何種情況下，公司依法應重編財務報告，並重行公告？,更正損益金額在原決算營業收入淨額百分之一以上者,更正綜合損益金額在新臺幣壹千萬元以上者，且達原決算營業收入淨額百分之一者,更正損益金額在實收資本額百分之五以上,更正損益金額在新臺幣壹千萬元以上者,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,32,依證交法規定公司買回之股份，除為維護公司信用及股東權益所必要之買回，並辦理銷除股 份者外，其餘情形所買回之股份，應於買回之日起幾年內將其轉讓？逾期未轉讓者，視為公 司未發行股份，並應辦理變更登記。,1 年,2 年,3 年,5 年,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,33,有關公開收購的條件，下列敘述何者錯誤？,公開收購開始後不得調降公開收購價格,公開收購人得依對象不同及不同收購條件為公開收購,公開收購開始後，不得降低預定公開收購有價證券之數量,公開收購開始後，公開收購人不得於集中交易市場、證券商營業處所，或其他任何場所購,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,34,上市有價證券之買賣，應於證券交易所開設之有價證券集中交易市場為之。但證券交易法亦 設有例外規定，下列何者不屬之？,政府所發行債券之買賣,私人間之直接讓受，其數量不超過該證券一個成交單位；前後兩次之讓受行為，相隔不少,基於法律規定所生之效力，不能經由有價證券集中交易市場之買賣而取得或喪失證券所有,其他符合主管機關所訂事項者,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,35,依證券交易法施行細則之規定，證券交易法第 36 條第3 項第2 款所定「發生對股東權益或 證券價格有重大影響之事項」，下列何事項不包括在內？,董事長染COVID-19 重症住院治療,存款不足之退票、拒絕往來或其他喪失債信情事者,因訴訟、非訟、行政處分、行政爭訟、保全程序或強制執行事件，對公司財務或業務有重,嚴重減產或全部或部分停工、公司廠房或主要設備出租、全部或主要部份資產質押，對公,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,1,A公司申請股票上市時，在公開說明書中所附之財務報表內，列有不實之現金科目，造成其財報主 要內容有虛偽不實之記載，上市一年半後，A公司發生顯著之財務危機，公司支票不兌現金額達新 台幣五億元，致A公司股票價格暴跌，A公司投資人B持股產生重大損失，然A公司負責人及重 要幹部等均前往海外洽公不知去向，股東投訴無門。B乃控告A公司及其簽證會計師C，請求損害 賠償。試問：(10分) （1）A 公司應否負擔賠償 B 股東持股損害之責任？其理由為何？ （2）會計師C在何種情況下，可行使證券交易法上之免責抗辯？,,,,,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,2,有關股份有限公司行使「歸入權」之規定，請依「證券交易法」及「公司法」之相關規定分別說明 之。(10分),,,,,
112 年第 2 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,3,試說明證券投資信託事業依證交法規定申請核准發行之「共同基金」與「ETF（指數股票型基 金）」之主要區別？(10分),,,,,
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,1,有關證券投資信託事業證券投資顧問事業經營全權委託業務提存之營業保證金之規定，下列敘 述何者正確？,於開業後三個月內提存,為分散風險得分別提存於二家以上之金融機構,不得分散提存於不同金融機構,提存後不得更換金融機構,D
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,2,若有正當理由，證券投資信託事業未於期間內申請核發營業執照者，在期限屆滿前，得申請主 管機關核准延展六個月，但延展以幾次為限？,一次,二次,三次,四次,C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,3,證券投資顧問事業接受客戶委任，對證券投資或交易有關事項提供分析意見或推介建議時，應 注意哪些事項？,僅雙方約定意思一致即可,應訂定書面證券投資顧問契約,書面證券投資顧問契約應報經請主管機關核准,依民法通用契約標準範本為遵循,D
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,4,關於股份有限公司所發行擔保公司債之敘述，何者正確？,公司為發行公司債所設定之抵押權或質權，得由受託人為債權人取得，惟不得於公司債發行前,受託人對於受託之抵押權或質權或其擔保品，應委託會計師負責實行或保管之,由董事及監察人連帶保證者，亦為有擔保公司債,應於債券正面列示保證人名稱，並由其簽名或蓋章,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,5,依證券交易法所為有價證券交易所生之爭議，當事人間依約定或依該法規定進行仲裁者，爭議 當事人之仲裁人不能依協議推定另一仲裁人時，由何機關依申請或以職權指定之？,法院,行政院公平交易委員會,金融監督管理委員會,財政部,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,6,證券投資信託事業對於證券投資信託基金之淨資產價值計算及每單位淨資產價值之公告，下列 敘述何者正確？,每營業日計算並公告前一營業日之淨資產價值,每營業日計算，每週公告,每營業日計算，每月公告,每月計算，每月公告,C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,7,證券商之董事、監察人、股東或受僱人不得為公司制證券交易所之何職務？,董事長,董事,監察人,經理人,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,8,下列對經理人之資格，其敘述何者正確？,限制行為能力人得為經理人,受輔助宣告已撤銷,經理人應具有我國承認之大專以上學歷,若曾受破產之宣告，尚未復權者，仍可擔任經理人,A
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,9,公司法上對於合併後公司債權人之保護，設有下列何種規定？,賦予消滅公司債權人，請求存續公司收買其債權之權利,對於依指定期限提出異議之債權人，公司應清償或提供相當之擔保,公司應於合併決議後，即向債權人通知及公告，合併始生效力,債權人得主張合併無效,B
